Date,ReportDate
2020-03-12,1
2020-03-13,2
2020-03-14,2
2020-03-15,2
2020-03-16,2
2020-03-17,2
2020-03-18,2
2020-03-19,2
2020-03-20,2
2020-03-21,2
2020-03-22,2
2020-03-23,2
2020-03-24,2
2020-03-25,2
2020-03-26,2
2020-03-27,2
2020-03-28,2
2020-03-29,2
2020-03-30,2
2020-03-31,2
2020-04-01,2
2020-04-02,2
2020-04-03,2
2020-04-04,2
2020-04-05,3
2020-04-06,3
2020-04-07,3
2020-04-08,3
2020-04-09,4
2020-04-10,4
2020-04-11,5
2020-04-12,5
2020-04-13,5
2020-04-14,5
2020-04-15,5
2020-04-16,6
2020-04-17,6
2020-04-18,6
2020-04-19,6
2020-04-20,6
2020-04-21,6
2020-04-22,6
2020-04-23,6
2020-04-24,6
2020-04-25,6
2020-04-26,6
2020-04-27,6
2020-04-28,6
2020-04-29,6
2020-04-30,6
2020-05-01,6
2020-05-02,6
2020-05-03,6
2020-05-04,6
2020-05-05,6
2020-05-06,6
2020-05-07,7
2020-05-08,7
2020-05-09,8
2020-05-10,8
2020-05-11,8
2020-05-12,8
2020-05-13,8
2020-05-14,8
2020-05-15,9
2020-05-16,10
2020-05-17,12
2020-05-18,12
2020-05-19,12
2020-05-20,13
2020-05-21,13
2020-05-22,13
2020-05-23,15
2020-05-24,15
2020-05-25,17
2020-05-26,18
2020-05-27,18
2020-05-28,18
2020-05-29,20
2020-05-30,21
2020-05-31,22
2020-06-01,22
2020-06-02,23
2020-06-03,41
2020-06-04,43
2020-06-05,45
2020-06-06,46
2020-06-07,47
2020-06-08,49
2020-06-09,51
2020-06-10,59
2020-06-11,66
2020-06-12,74
2020-06-13,77
2020-06-14,78
2020-06-15,79
2020-06-16,84
2020-06-17,91
2020-06-18,103
2020-06-19,105
2020-06-20,108
2020-06-21,112
2020-06-22,130
2020-06-23,139
2020-06-24,158
2020-06-25,169
2020-06-26,177
2020-06-27,180
2020-06-28,184
2020-06-29,195
2020-06-30,199
2020-07-01,211
2020-07-02,225
2020-07-03,231
2020-07-04,236
2020-07-05,237
2020-07-06,243
2020-07-07,253
2020-07-08,257
2020-07-09,261
2020-07-10,275
2020-07-11,298
2020-07-12,309
2020-07-13,323
2020-07-14,329
2020-07-15,339
